ea_id,district,region
30709438,Thyolo,South
30709631,Thyolo,South
30709632,Thyolo,South
30709650,Thyolo,South
30709677,Thyolo,South
30709678,Thyolo,South
30709679,Thyolo,South
30709680,Thyolo,South
30709698,Thyolo,South
30710079,Thyolo,South
30710128,Thyolo,South
30710157,Thyolo,South
30710451,Thyolo,South
30710633,Thyolo,South
30710634,Thyolo,South
30710635,Thyolo,South
30710636,Thyolo,South
30710681,Thyolo,South
30710682,Thyolo,South
30710683,Thyolo,South
30710684,Thyolo,South
30711637,Thyolo,South
30711684,Thyolo,South
30711685,Thyolo,South
30712638,Thyolo,South
30713639,Thyolo,South
30713640,Thyolo,South
30720641,Thyolo,South
30720666,Thyolo,South
30720686,Thyolo,South
30803321,Thyolo,South
31004312,Thyolo,South
30301531,Zomba,South
30301554,Zomba,South
30301567,Zomba,South
30301568,Zomba,South
30301569,Zomba,South
30301576,Zomba,South
30301590,Zomba,South
30302283,Zomba,South
30302357,Zomba,South
30302532,Zomba,South
30302533,Zomba,South
30302534,Zomba,South
30302535,Zomba,South
30302536,Zomba,South
30302570,Zomba,South
30302571,Zomba,South
30302572,Zomba,South
30302573,Zomba,South
30302574,Zomba,South
30302601,Zomba,South
30302687,Zomba,South
30302692,Zomba,South
30304139,Zomba,South
30304143,Zomba,South
30304537,Zomba,South
30304538,Zomba,South
30304575,Zomba,South
30304576,Zomba,South
30304577,Zomba,South
30305082,Zomba,South
30305258,Zomba,South
30305277,Zomba,South
30305506,Zomba,South
30305539,Zomba,South
30305540,Zomba,South
30305561,Zomba,South
30305578,Zomba,South
30305579,Zomba,South
30305580,Zomba,South
30305581,Zomba,South
30305582,Zomba,South
30306024,Zomba,South
30306056,Zomba,South
30306087,Zomba,South
30306460,Zomba,South
30306541,Zomba,South
30306542,Zomba,South
30306555,Zomba,South
30306583,Zomba,South
30306584,Zomba,South
30306585,Zomba,South
30306586,Zomba,South
30306587,Zomba,South
30306588,Zomba,South
30307543,Zomba,South
30307544,Zomba,South
30307545,Zomba,South
30307546,Zomba,South
30307547,Zomba,South
30307577,Zomba,South
30307589,Zomba,South
30307590,Zomba,South
30307678,Zomba,South
30308548,Zomba,South
30309549,Zomba,South
30309550,Zomba,South
30311551,Zomba,South
30311552,Zomba,South
30406613,Zomba,South
30406710,Zomba,South
30502456,Zomba,South
31431714,Zomba,South
31431774,Zomba,South
31431775,Zomba,South
31431776,Zomba,South
31431777,Zomba,South
31431831,Zomba,South
31431832,Zomba,South
31432279,Zomba,South
31432523,Zomba,South
31432676,Zomba,South
31432778,Zomba,South
31432833,Zomba,South
31432834,Zomba,South
31433779,Zomba,South
31433780,Zomba,South
31433781,Zomba,South
31433782,Zomba,South
31434099,Zomba,South
31434783,Zomba,South
31434784,Zomba,South
31434835,Zomba,South
31435120,Zomba,South
31435149,Zomba,South
31435423,Zomba,South
31435753,Zomba,South
31435785,Zomba,South
31435836,Zomba,South
31435837,Zomba,South
31435838,Zomba,South
31435839,Zomba,South
31436063,Zomba,South
31436695,Zomba,South
31436840,Zomba,South
31436841,Zomba,South
31437786,Zomba,South
31437842,Zomba,South
31438563,Zomba,South
31438622,Zomba,South
31438689,Zomba,South
31438690,Zomba,South
31438787,Zomba,South
31438788,Zomba,South
31438789,Zomba,South
31438790,Zomba,South
31438843,Zomba,South
31438844,Zomba,South
31438845,Zomba,South
31439102,Zomba,South
31439791,Zomba,South
31439792,Zomba,South
31439846,Zomba,South
31440002,Zomba,South
31440152,Zomba,South
31440793,Zomba,South
31440794,Zomba,South
31440847,Zomba,South
31441389,Zomba,South
31441848,Zomba,South
31441849,Zomba,South
31442200,Zomba,South
31442394,Zomba,South
31442616,Zomba,South
31442850,Zomba,South
31442851,Zomba,South
31443108,Zomba,South
31443270,Zomba,South
31443852,Zomba,South
31443853,Zomba,South
31444854,Zomba,South
,,North
,Blantyre City,South
,Lilongwe City,Central
,Mzuzu City,North
,Neno,South
,Zomba City,South
