ea_id,district,distnum
20601376,Lilongwe,13
20601377,Lilongwe,13
20601626,Lilongwe,13
20601658,Lilongwe,13
20601701,Lilongwe,13
20602352,Lilongwe,13
20602353,Lilongwe,13
20602354,Lilongwe,13
20602355,Lilongwe,13
20602363,Lilongwe,13
20602378,Lilongwe,13
20602379,Lilongwe,13
20602380,Lilongwe,13
20602381,Lilongwe,13
20602479,Lilongwe,13
20602607,Lilongwe,13
20602617,Lilongwe,13
20603090,Lilongwe,13
20603121,Lilongwe,13
20603133,Lilongwe,13
20603189,Lilongwe,13
20603337,Lilongwe,13
20603356,Lilongwe,13
20603357,Lilongwe,13
20603382,Lilongwe,13
20603383,Lilongwe,13
20603384,Lilongwe,13
20603385,Lilongwe,13
20603386,Lilongwe,13
20603387,Lilongwe,13
20603388,Lilongwe,13
20603455,Lilongwe,13
20603533,Lilongwe,13
20604071,Lilongwe,13
20604358,Lilongwe,13
20604359,Lilongwe,13
20604376,Lilongwe,13
20604389,Lilongwe,13
20604390,Lilongwe,13
20604391,Lilongwe,13
20604638,Lilongwe,13
20605302,Lilongwe,13
20605360,Lilongwe,13
20605361,Lilongwe,13
20605362,Lilongwe,13
20605392,Lilongwe,13
20606168,Lilongwe,13
20606297,Lilongwe,13
20606363,Lilongwe,13
20606364,Lilongwe,13
20606365,Lilongwe,13
20606393,Lilongwe,13
20606394,Lilongwe,13
20606395,Lilongwe,13
20607260,Lilongwe,13
20607315,Lilongwe,13
20607366,Lilongwe,13
20607396,Lilongwe,13
20607397,Lilongwe,13
20607733,Lilongwe,13
20608367,Lilongwe,13
20608368,Lilongwe,13
20608369,Lilongwe,13
20608398,Lilongwe,13
20608499,Lilongwe,13
20609370,Lilongwe,13
20609371,Lilongwe,13
20609399,Lilongwe,13
20609754,Lilongwe,13
20610050,Lilongwe,13
20610249,Lilongwe,13
20610372,Lilongwe,13
20610400,Lilongwe,13
20610401,Lilongwe,13
20611336,Lilongwe,13
20611373,Lilongwe,13
20611402,Lilongwe,13
20612374,Lilongwe,13
20612375,Lilongwe,13
20612403,Lilongwe,13
20612564,Lilongwe,13
20613324,Lilongwe,13
20613376,Lilongwe,13
20613404,Lilongwe,13
20614377,Lilongwe,13
20614405,Lilongwe,13
20614406,Lilongwe,13
20614477,Lilongwe,13
20614589,Lilongwe,13
20615064,Lilongwe,13
20615378,Lilongwe,13
20615408,Lilongwe,13
20615409,Lilongwe,13
20615410,Lilongwe,13
20615735,Lilongwe,13
20615752,Lilongwe,13
20616379,Lilongwe,13
20616380,Lilongwe,13
20616381,Lilongwe,13
20617382,Lilongwe,13
20617383,Lilongwe,13
20617384,Lilongwe,13
21031643,Lilongwe,13
21033451,Lilongwe,13
21036483,Lilongwe,13
21037030,Lilongwe,13
21037224,Lilongwe,13
21037452,Lilongwe,13
21037484,Lilongwe,13
21037485,Lilongwe,13
21037486,Lilongwe,13
21037536,Lilongwe,13
21038392,Lilongwe,13
21038487,Lilongwe,13
21038763,Lilongwe,13
21040453,Lilongwe,13
21040488,Lilongwe,13
21048764,Lilongwe,13
21051203,Lilongwe,13
21051454,Lilongwe,13
21051455,Lilongwe,13
21051489,Lilongwe,13
21051490,Lilongwe,13
21051491,Lilongwe,13
21051517,Lilongwe,13
21052427,Lilongwe,13
21052456,Lilongwe,13
21052492,Lilongwe,13
21052642,Lilongwe,13
21053430,Lilongwe,13
21053457,Lilongwe,13
21053458,Lilongwe,13
21053493,Lilongwe,13
21053494,Lilongwe,13
21053495,Lilongwe,13
21053745,Lilongwe,13
21054459,Lilongwe,13
21054496,Lilongwe,13
21054673,Lilongwe,13
21055165,Lilongwe,13
21055241,Lilongwe,13
21055460,Lilongwe,13
21055461,Lilongwe,13
21055462,Lilongwe,13
21055463,Lilongwe,13
21055497,Lilongwe,13
21055498,Lilongwe,13
21055499,Lilongwe,13
21055693,Lilongwe,13
21056222,Lilongwe,13
21059500,Lilongwe,13
21066096,Lilongwe,13
21066339,Lilongwe,13
21066464,Lilongwe,13
21066465,Lilongwe,13
21066466,Lilongwe,13
21066467,Lilongwe,13
21066478,Lilongwe,13
21066501,Lilongwe,13
21066502,Lilongwe,13
21068468,Lilongwe,13
21068503,Lilongwe,13
21069400,Lilongwe,13
21074469,Lilongwe,13
21074470,Lilongwe,13
21074504,Lilongwe,13
21074510,Lilongwe,13
21076505,Lilongwe,13
21077725,Lilongwe,13
21079006,Lilongwe,13
21079472,Lilongwe,13
21079506,Lilongwe,13
21080308,Lilongwe,13
21080473,Lilongwe,13
21080474,Lilongwe,13
21080475,Lilongwe,13
21080507,Lilongwe,13
21080508,Lilongwe,13
21080755,Lilongwe,13
21081476,Lilongwe,13
21081509,Lilongwe,13
21081573,Lilongwe,13
21083477,Lilongwe,13
21083510,Lilongwe,13
21083535,Lilongwe,13
21085094,Lilongwe,13
21085478,Lilongwe,13
21085511,Lilongwe,13
21086069,Lilongwe,13
21086436,Lilongwe,13
21086479,Lilongwe,13
21086480,Lilongwe,13
21086481,Lilongwe,13
21086512,Lilongwe,13
21086513,Lilongwe,13
21087057,Lilongwe,13
21087482,Lilongwe,13
21087483,Lilongwe,13
21087514,Lilongwe,13
21087515,Lilongwe,13
21087516,Lilongwe,13
21087531,Lilongwe,13
21087736,Lilongwe,13
21088484,Lilongwe,13
21088517,Lilongwe,13
21088518,Lilongwe,13
21088597,Lilongwe,13
30201076,Machinga,14
30201146,Machinga,14
30201498,Machinga,14
30201509,Machinga,14
30201510,Machinga,14
30201511,Machinga,14
30201543,Machinga,14
30201544,Machinga,14
30201545,Machinga,14
30201546,Machinga,14
30201587,Machinga,14
30202252,Machinga,14
30202403,Machinga,14
30202512,Machinga,14
30202547,Machinga,14
30202548,Machinga,14
30203044,Machinga,14
30203122,Machinga,14
30203142,Machinga,14
30203256,Machinga,14
30203513,Machinga,14
30203549,Machinga,14
30203550,Machinga,14
30203551,Machinga,14
30203552,Machinga,14
30203553,Machinga,14
30203554,Machinga,14
30203767,Machinga,14
30204126,Machinga,14
30204514,Machinga,14
30204555,Machinga,14
30205515,Machinga,14
30205556,Machinga,14
