enum_old,population,enum
10510017,1574.284229,10510117
10510018,2654.812983,10510118
10510801,2660.987392,10510901
10510802,2479.025983,10510902
10511902,646.579717,10512002
10520701,2020.859283,10520801
10520702,2514.221041,10520802
10520703,1942.017014,10520803
10520704,1608.318343,10520804
10520705,5539.461511,10520805
10520706,5627.445934,10520806
10520707,2168.99961,10520807
10520708,4029.952211,10520808
10520709,2089.332151,10520809
10531001,2388.344915,10531101
10531002,1591.236862,10531102
10532001,4704.169177,10532101
10532002,3870.604012,10532102
10532003,1212.93449,10532103
10532004,795.4821577,10532104
10532005,654.7303753,10532105
10532006,2043.617705,10532106
10532007,5737.981345,10532107
10532008,4099.836051,10532108
10533001,2097.29465,10533101
10533002,2363.147216,10533102
10533003,2128.132011,10533103
10533004,2651.633003,10533104
10533005,1759.023193,10533105
10534001,2620.111893,10534101
10534002,496.8081884,10534102
10534003,1124.811226,10534103
10534004,4023.383679,10534104
10534005,5102.339879,10534105
10534006,2792.856575,10534106
10534007,629.628376,10534107
10534008,3362.202454,10534108
10534009,2298.651627,10534109
10534010,4315.5784,10534110
10534011,498.8503456,10534111
10534012,1125.849106,10534112
10535001,6045.749179,10535101
10535002,1931.488814,10535102
10535003,5136.805819,10535103
10536001,2561.650379,10536101
10536002,3442.888929,10536102
10536003,1429.508869,10536103
10536004,3411.688114,10536104
10536005,6046.956879,10536105
10536006,4409.278221,10536106
10536007,5212.41153,10536107
10536008,8558.864808,10536108
10536009,3707.069796,10536109
10537001,2755.293064,10537101
10537002,6049.810345,10537102
10538001,1729.853008,10538101
10539001,2763.796902,10539101
10539002,1306.03392,10539102
10540001,2404.624669,10540101
10541001,1980.503571,10541101
10541002,589.7815809,10541102
10541003,1724.202903,10541103
10542001,1999.739977,10542101
10543001,4951.726886,10543101
10544001,1836.630814,10544101
